uitp_region,distributed_year,distributed_length,distributed_cars,distributed_real_cost,cost_per_cars,car_cost_per_km
Asia-Pacific,2012,1437.5,75.0,72.239536872,0.9631938249600001,0.050253590867478264
Asia-Pacific,2013,1437.5,75.0,72.239536872,0.9631938249600001,0.050253590867478264
Asia-Pacific,2015,3450.0,156.0,162.11350224588,1.0391891169607692,0.04698942094083478
Asia-Pacific,2016,5290.0,236.0,241.63818626028,1.0238906197469493,0.04567829607944802
Asia-Pacific,2017,2530.0,116.0,106.75235294028,0.9202789046575862,0.04219460590524901
Asia-Pacific,2018,5276.0,260.0,247.98452934773334,0.9537866513374359,0.04700237478160223
Asia-Pacific,2019,15633.133333333333,723.6666666666666,778.5780786368816,1.075879426951011,0.04980307287322748
Asia-Pacific,2020,21735.13333333333,1009.3333333333334,1313.432418957599,1.30128707294346,0.06042900215124511
Asia-Pacific,2021,33168.63333333333,1454.0,1298.2026715191266,0.892849155102563,0.039139468258237754
Asia-Pacific,2022,27174.233333333334,1204.3333333333333,965.5621186282835,0.8017399268986578,0.03553226715853192
Asia-Pacific,2023,35046.166666666664,1641.0,1241.7568439268093,0.7567074003210295,0.03543203043395548
Asia-Pacific,2024,34244.53333333333,1627.0,1603.482520007358,0.9855454947801832,0.04682448157196939
Asia-Pacific,2025,14015.5,679.0,643.2364145455643,0.9473290346768253,0.04589464625204697
Asia-Pacific,2026,9491.666666666666,450.6666666666667,541.5982026203653,1.2017711596605738,0.057060390091697846
Eurasia,2024,213.33333333333334,10.666666666666666,23.42748691833333,2.1963268985937496,0.10981634492968748
Eurasia,2025,213.33333333333334,10.666666666666666,23.42748691833333,2.1963268985937496,0.10981634492968748
Eurasia,2026,213.33333333333334,10.666666666666666,23.42748691833333,2.1963268985937496,0.10981634492968748
Europe,2006,1512.0,100.0,109.08014783499999,1.09080147835,0.07214295491732804
Europe,2007,1512.0,100.0,109.08014783499999,1.09080147835,0.07214295491732804
Europe,2008,5008.184,318.9,559.5582994522,1.7546512996306054,0.11172878221970278
Europe,2009,5008.184,318.9,559.5582994522,1.7546512996306054,0.11172878221970278
Europe,2010,5008.184,318.9,559.5582994522,1.7546512996306054,0.11172878221970278
Europe,2011,5008.184,318.9,559.5582994522,1.7546512996306054,0.11172878221970278
Europe,2012,5008.184,318.9,559.5582994522,1.7546512996306054,0.11172878221970278
Europe,2013,4929.139999999999,302.1,502.031293396,1.6618050095862298,0.10184967223410171
Europe,2014,6159.606666666667,351.76666666666665,656.1935759106,1.8654228444345684,0.10653173350526711
Europe,2015,6159.606666666667,351.76666666666665,656.1935759106,1.8654228444345684,0.10653173350526711
Europe,2016,3748.9066666666668,219.76666666666668,428.15787726559995,1.9482384829315937,0.11420873212783815
Europe,2017,3964.74,238.10000000000002,427.55166466640003,1.7956810779773205,0.10783851265565965
Europe,2018,5487.0,342.9,550.4660753024,1.605325387291922,0.1003218653731365
Europe,2019,8853.0,522.775,1032.3251512395,1.974702599090431,0.11660738181853608
Europe,2020,9273.1,532.775,1167.6809612345,2.191696234309981,0.12592131662922862
Europe,2021,9053.5,528.775,1192.3137192694999,2.2548602321772018,0.13169643997012204
Europe,2022,15146.064285714285,945.7511904761905,2102.977138020462,2.2236050656849846,0.1388464421086594
