iso2_code,development_status_3,distributed_year,distributed_real_cost,distributed_length,cost_per_km_distributed
CA,AE,2020,1583.4250366780518,3.1603896103896103,501.02209913379903
CA,AE,2021,1583.4250366780518,3.1603896103896103,501.02209913379903
CA,AE,2022,3673.2333584380517,4.71038961038961,779.8151877577336
CA,AE,2023,3673.2333584380517,4.71038961038961,779.8151877577336
CA,AE,2024,3673.2333584380517,4.71038961038961,779.8151877577336
CA,AE,2025,3673.2333584380517,4.71038961038961,779.8151877577336
CA,AE,2026,3321.5458313080517,3.7603896103896104,883.2983215704368
CA,AE,2027,2842.214017450909,2.9318181818181817,969.4373392855814
CA,AE,2028,2842.214017450909,2.9318181818181817,969.4373392855814
CA,AE,2029,2842.214017450909,2.9318181818181817,969.4373392855814
CA,AE,2030,2842.214017450909,2.9318181818181817,969.4373392855814
CA,AE,2031,2089.80832176,1.55,1348.2634333935484
CL,EMDE,2013,428.57142857142856,5.285714285714286,81.08108108108108
CL,EMDE,2014,428.57142857142856,5.285714285714286,81.08108108108108
CL,EMDE,2015,428.57142857142856,5.285714285714286,81.08108108108108
CL,EMDE,2016,428.57142857142856,5.285714285714286,81.08108108108108
CL,EMDE,2017,428.57142857142856,5.285714285714286,81.08108108108108
CL,EMDE,2018,428.57142857142856,5.285714285714286,81.08108108108108
CL,EMDE,2019,428.57142857142856,5.285714285714286,81.08108108108108
CL,EMDE,2021,483.3333333333333,4.133333333333334,116.93548387096773
CL,EMDE,2022,483.3333333333333,4.133333333333334,116.93548387096773
CL,EMDE,2023,483.3333333333333,4.133333333333334,116.93548387096773
CL,EMDE,2024,483.3333333333333,4.133333333333334,116.93548387096773
CL,EMDE,2025,483.3333333333333,4.133333333333334,116.93548387096773
CL,EMDE,2026,483.3333333333333,4.133333333333334,116.93548387096773
CN,EMDE,2010,9253.227537548448,128.36671794871793,72.08431971630746
CN,EMDE,2011,10049.805859209015,130.4727512820513,77.02608981919686
CN,EMDE,2012,17440.73175475288,209.9683862026862,83.06360814678565
CN,EMDE,2013,24124.743107724713,273.30948620268623,88.26895635021542
CN,EMDE,2014,30487.95668606169,321.2483481074481,94.90463333328758
CN,EMDE,2015,33773.82426072731,327.39934810744813,103.15788487655507
