uitp_region,distributed_year,distributed_length,distributed_cars,distributed_real_cost,cost_per_km_distributed,cost_per_cars
Asia-Pacific,2012,1.4375,75.0,72239536.87200001,50253590.86747827,963193.8249600001
Asia-Pacific,2013,1.4375,75.0,72239536.87200001,50253590.86747827,963193.8249600001
Asia-Pacific,2015,3.4499999999999997,156.0,162113502.24588,46989420.94083479,1039189.1169607693
Asia-Pacific,2016,5.289999999999999,236.0,241638186.26028,45678296.07944802,1023890.6197469492
Asia-Pacific,2017,2.53,116.0,106752352.94028,42194605.905249014,920278.9046575862
Asia-Pacific,2018,4.08,208.0,247984529.34773335,60780521.89895425,1192233.314171795
Asia-Pacific,2019,14.437133333333334,671.6666666666666,778578078.6368817,53928855.58792016,1159173.318069799
Asia-Pacific,2020,20.539133333333332,957.3333333333334,1313432418.9575992,63947801.38196025,1371969.7969612805
Asia-Pacific,2021,20.970033333333333,969.3333333333334,1298202671.5191267,61907515.87674125,1339273.7326538444
Asia-Pacific,2022,14.400633333333333,689.6666666666666,965562118.6282835,67049975.94746644,1400041.7379820447
Asia-Pacific,2023,24.791266666666665,1177.3333333333333,1241756843.9268093,50088479.16578726,1054719.856109974
Asia-Pacific,2024,30.207533333333334,1417.0,1603482520.007358,53082206.425572366,1131603.7544159195
Asia-Pacific,2025,11.543000000000001,550.0,643236414.5455643,55725237.33393089,1169520.7537192078
Asia-Pacific,2026,9.491666666666667,450.6666666666667,541598202.6203654,57060390.09169784,1201771.159660574
Eurasia,2024,0.21333333333333335,10.666666666666666,23427486.918333333,109816344.92968749,2196326.8985937503
Eurasia,2025,0.21333333333333335,10.666666666666666,23427486.918333333,109816344.92968749,2196326.8985937503
Eurasia,2026,0.21333333333333335,10.666666666666666,23427486.918333333,109816344.92968749,2196326.8985937503
Europe,2006,1.512,100.0,109080147.835,72142954.91732804,1090801.47835
Europe,2007,1.512,100.0,109080147.835,72142954.91732804,1090801.47835
Europe,2008,5.008184,318.9,559558299.4521999,111728782.21970278,1754651.2996306052
Europe,2009,5.008184,318.9,559558299.4521999,111728782.21970278,1754651.2996306052
Europe,2010,5.008184,318.9,559558299.4521999,111728782.21970278,1754651.2996306052
Europe,2011,5.008184,318.9,559558299.4521999,111728782.21970278,1754651.2996306052
Europe,2012,5.008184,318.9,559558299.4521999,111728782.21970278,1754651.2996306052
Europe,2013,4.929139999999999,302.1,502031293.39599997,101849672.2341017,1661805.0095862295
Europe,2014,6.159606666666667,351.76666666666665,656193575.9106,106531733.5052671,1865422.8444345682
Europe,2015,6.159606666666667,351.76666666666665,656193575.9106,106531733.5052671,1865422.8444345682
Europe,2016,3.7489066666666666,219.76666666666668,428157877.26559997,114208732.12783815,1948238.482931594
Europe,2017,3.96474,238.10000000000002,427551664.66639996,107838512.65565963,1795681.0779773202
Europe,2018,5.487,342.9,550466075.3024,100321865.3731365,1605325.387291922
Europe,2019,8.853,522.775,1032325151.2395,116607381.8185361,1974702.5990904311
Europe,2020,9.2731,532.775,1167680961.2345,125921316.62922862,2191696.2343099806
Europe,2021,9.0535,528.775,1192313719.2695,131696439.97012205,2254860.232177202
Europe,2022,15.146064285714285,945.7511904761905,2102977138.020462,138846442.1086594,2223605.065684985
Europe,2023,18.849330952380953,1131.3511904761904,2372485654.602262,125865775.32093157,2097037.3077555813
Europe,2024,17.81973095238095,1063.8511904761904,2150288493.557262,120668965.16582677,2021230.5187107713
Europe,2025,16.975664285714284,1019.8511904761905,2062534440.3905954,121499483.3590284,2022387.6381686172
Europe,2026,7.137047619047619,408.3511904761905,951553115.1905953,133325874.50461376,2330232.2544498052
Europe,2027,3.286547619047619,201.47619047619048,426799438.6280952,129862545.16883399,2118361.666554006
Europe,2028,1.6232142857142857,107.14285714285714,225653279.57142857,139016321.84818482,2106097.276
Europe,2029,1.6232142857142857,107.14285714285714,225653279.57142857,139016321.84818482,2106097.276
Europe,2030,1.6232142857142857,107.14285714285714,225653279.57142857,139016321.84818482,2106097.276
Europe,2031,1.6232142857142857,107.14285714285714,225653279.57142857,139016321.84818482,2106097.276
Europe,2032,1.6232142857142857,107.14285714285714,225653279.57142857,139016321.84818482,2106097.276
Europe,2033,1.6232142857142857,107.14285714285714,225653279.57142857,139016321.84818482,2106097.276
Europe,2034,1.6232142857142857,107.14285714285714,225653279.57142857,139016321.84818482,2106097.276
Europe,2035,1.6232142857142857,107.14285714285714,225653279.57142857,139016321.84818482,2106097.276
North America,2008,6.1289,334.0,647700000.0,105679648.87663366,1939221.5568862276
North America,2009,6.1289,334.0,647700000.0,105679648.87663366,1939221.5568862276
North America,2010,7.9229,412.0,892009829.39,112586278.93700539,2165072.4014320388
North America,2011,1.7939999999999998,78.0,244309829.39000002,136181621.73355633,3132177.299871795
North America,2012,3.933,171.0,439433783.09000003,111729921.96542081,2569788.2052046787
North America,2013,2.8466111111111108,119.11111111111111,308457287.0333333,108359475.5284061,2589660.059048507
North America,2014,0.7076111111111111,26.11111111111111,113333333.33333333,160163303.7606972,4340425.531914894
