uitp_region,distributed_year,distributed_length,distributed_cars,distributed_real_cost,cost_per_km_distributed,cost_per_cars
Asia-Pacific,2012,1.4375,75.0,136.8,95.16521739130435,1.824
Asia-Pacific,2013,1.4375,75.0,136.8,95.16521739130435,1.824
Asia-Pacific,2015,3.4499999999999997,156.0,255.94296,74.18636521739131,1.64066
Asia-Pacific,2016,5.289999999999999,236.0,388.57136,73.45394328922497,1.646488813559322
Asia-Pacific,2017,2.53,116.0,177.73136,70.24954940711463,1.5321668965517241
Asia-Pacific,2018,4.08,208.0,351.3217333333333,86.1082679738562,1.6890467948717949
Asia-Pacific,2019,14.437133333333334,671.6666666666666,1222.3842716666666,84.66945919550048,1.8199269553349875
Asia-Pacific,2020,20.539133333333332,957.3333333333334,2098.4850996666664,102.17008992589754,2.192010897980501
Asia-Pacific,2021,20.970033333333333,969.3333333333334,2104.3853653333335,100.35202767123245,2.1709615185694635
Asia-Pacific,2022,14.400633333333333,689.6666666666666,1544.461493314,107.24955337478214,2.2394318414412764
Asia-Pacific,2023,22.778766666666666,1092.3333333333333,1868.2190637706667,82.01581284488626,1.7103012484931341
Asia-Pacific,2024,28.195033333333335,1332.0,2553.6433567233335,90.57068053557896,1.9171496672097097
Asia-Pacific,2025,28.0406,1312.0,2695.157488383333,96.11625601389889,2.054235890536077
Asia-Pacific,2026,31.464066666666668,1522.6666666666667,3141.5546822666665,99.84579283881506,2.0631926547285464
Asia-Pacific,2027,12.6628,623.0,1137.35480655,89.81858724373755,1.8256096413322631
Asia-Pacific,2028,0.621,27.0,44.32158,71.37130434782608,1.64154
Eurasia,2024,0.21333333333333335,10.666666666666666,31.416666666666668,147.265625,2.9453125000000004
Eurasia,2025,0.21333333333333335,10.666666666666666,31.416666666666668,147.265625,2.9453125000000004
Eurasia,2026,0.21333333333333335,10.666666666666666,31.416666666666668,147.265625,2.9453125000000004
Europe,2006,1.512,100.0,108.59375,71.82126322751323,1.0859375
Europe,2007,1.512,100.0,108.59375,71.82126322751323,1.0859375
Europe,2008,5.008184,318.9,472.79375,94.40422915771465,1.482576826591408
Europe,2009,5.008184,318.9,472.79375,94.40422915771465,1.482576826591408
Europe,2010,5.008184,318.9,472.79375,94.40422915771465,1.482576826591408
Europe,2011,5.008184,318.9,472.79375,94.40422915771465,1.482576826591408
Europe,2012,5.008184,318.9,472.79375,94.40422915771465,1.482576826591408
Europe,2013,4.929139999999999,302.1,436.3104166666667,88.51653973444998,1.44425824782081
Europe,2014,6.159606666666667,351.76666666666665,591.5046666666667,96.02961660971859,1.681525632521558
Europe,2015,6.159606666666667,351.76666666666665,591.5046666666667,96.02961660971859,1.681525632521558
Europe,2016,3.7489066666666666,219.76666666666668,363.188,96.87837876287486,1.6526073107841648
Europe,2017,3.96474,238.10000000000002,377.16700000000003,95.13032380433522,1.5840697186056278
Europe,2018,5.487,342.9,631.917,115.1662110442865,1.8428608923884517
Europe,2019,8.853,522.775,1267.5275000000001,143.17491245905344,2.4246138396059496
Europe,2020,9.2731,532.775,1445.0775,155.83542720341634,2.7123598141804703
Europe,2021,9.0535,528.775,1472.3375,162.62633235765176,2.784430996170394
Europe,2022,15.146064285714285,945.7511904761905,2667.3234523809524,176.1067035016326,2.8203225956691016
Europe,2023,18.849330952380953,1131.3511904761904,3098.4684523809524,164.38081861943058,2.7387326574313273
Europe,2024,17.81973095238095,1063.8511904761904,2831.8184523809523,158.91477037157983,2.6618557912346765
Europe,2025,18.969914285714285,1131.8511904761904,2956.785119047619,155.8670784967274,2.6123443999768607
