uitp_region,distributed_year,distributed_real_cost,distributed_length,cost_per_km_distributed
MENA,2017,13590.581428571428,48.28333333333333,281.47562503082
MENA,2018,11692.171428571428,42.875,272.70370678883796
MENA,2019,11692.171428571428,42.875,272.70370678883796
MENA,2020,15748.738095238095,64.55833333333334,243.94585922661307
MENA,2021,13307.738095238095,53.71547619047619,247.74495246116
MENA,2022,13307.738095238095,53.71547619047619,247.74495246116
MENA,2023,13307.738095238095,53.71547619047619,247.74495246116
MENA,2024,12930.238095238095,48.94880952380952,264.15837731351996
MENA,2025,12930.238095238095,48.94880952380952,264.15837731351996
MENA,2026,6428.571428571428,8.857142857142858,725.8064516129032
North America,2010,1810.7666666666667,5.7588888888888885,314.4298668724677
North America,2011,2521.4541666666664,7.7588888888888885,324.976192181011
North America,2012,2753.1141666666667,9.93888888888889,277.004220234768
North America,2013,3160.514166666667,11.553888888888888,273.5454873299034
North America,2014,3415.059621212121,12.126616161616163,281.6168645645483
North America,2015,2618.059621212121,8.793282828282829,297.7340399869046
North America,2016,2618.059621212121,8.793282828282829,297.7340399869046
North America,2017,1926.299621212121,6.343282828282828,303.6755057843738
North America,2018,1904.9662878787879,5.8543939393939395,325.3908615647403
North America,2019,2536.6935606060606,6.090757575757576,416.48243737406403
North America,2020,4770.529924242424,9.776147186147186,487.97648331259495
North America,2021,4770.529924242424,9.776147186147186,487.97648331259495
North America,2022,6916.163257575758,11.101147186147186,623.0133824553058
North America,2023,6382.263257575758,8.511147186147186,749.8710946937426
North America,2024,7320.724796037296,9.249608724608725,791.46318660598
North America,2025,7066.179341491842,8.676881451881451,814.3685471189245
North America,2026,6669.979341491841,7.726881451881452,863.2175067041749
North America,2027,5152.625174825175,4.431643356643357,1162.6894946546215
North America,2028,4702.625174825175,3.9066433566433565,1203.7508278886603
North America,2029,4702.625174825175,3.9066433566433565,1203.7508278886603
North America,2030,4070.8979020979023,3.67027972027972,1109.1519481756693
North America,2031,3223.2615384615387,2.2884615384615383,1408.4840336134455
North America,2032,938.4615384615385,0.7384615384615384,1270.8333333333335
North America,2033,938.4615384615385,0.7384615384615384,1270.8333333333335
North America,2034,938.4615384615385,0.7384615384615384,1270.8333333333335
North America,2035,938.4615384615385,0.7384615384615384,1270.8333333333335
North America,2036,938.4615384615385,0.7384615384615384,1270.8333333333335
