Country,City,Line,Phase,Start_year,End_year,RR,Length,TunnelPer,Tunnel,Elevated,Atgrade,Stations,Platform_length_meters,Source1,Cost,Currency,Year,PPP_rate,Real_cost,Cost_km_millions,Anglo,Inflation_index,Real_cost_2023_dollars,Cost_km_2023_dollars,Source2,Reference1,Reference2,Reference3,Comments
KR,Seoul,Sinbundang,Sinbundang Phase 1,2005,2011,0,17.3,100,17.3,0,0,6,200,Wiki,1169000,KRW,2002,0.0013,1519.7,87.84393064,0,1.69372985,2573.961253,148.7838875,Trade,https://books.google.de/books?id=B3-SBgAAQBAJ&pg=PA44&lpg=PA44&dq=shinbundang+line+construction+cost+11690&source=bl&ots=_CTZGAt6MP&sig=ACfU3U0qGvuRqbqwA60o8fLQNSdXTt8BlQ&hl=en&sa=X&ved=2ahUKEwi847D6oPPqAhXLqqQKHf_ZB1MQ6AEwEHoECAsQAQ#v=onepage&q=shinbundang%20line%20construction%20cost%2011690&f=false,NaN,NaN,"Cost: This source says 1.69 trillion (https://shinbundang.co.kr/eng/index.jsp?pageID=/eng/intro/intro2_6.jsp&open_main=4&open_sub1=1&open_sub2=6), not 1.169, but given how many sources say 1.169, it looks like a typo."
KR,Seoul,Sinbundang,Sinbundang Phase 2,2011,2018,0,12.8,100,12.8,0,0,7,200,Media,1025500,KRW,2006,0.0013,1333.15,104.1523438,0,1.511418651,2014.947774,157.4177949,Plan,https://shinbundang.co.kr/eng/index.jsp?pageID=/eng/intro/intro2_6.jsp&open_main=4&open_sub1=1&open_sub2=6,NaN,NaN,"Cost: This is the cost across a few different sources, e.g. https://centers.ibs.re.kr/html/living_en/transport/KSP%2011%20Korea%C2%B4s%20Railway%20PPP%20Projects.pdf, but https://www.donga.com/news/article/all/20110216/34857594/1 claims 1.5343 trilion, which could be a 2006 won vs. YOE won difference."
MX,Guadalajara,Line 3,Line 3,2014,2020,0,21.5,25,5.4,14.595,1.53,18,NaN,Trade,31500,MXN,2017,0.106,3339,155.3023256,0,1.243072781,4150.620015,193.0520937,Media,https://www.eleconomista.com.mx/estados/Linea-3-arriba-78-de-su-costo-20200121-0023.html,NaN,NaN,NaN
DE,Leipzig,City Tunnel,City Tunnel,2003,2013,1,3.6,100,3.6,0,0,4,NaN,Wiki,960,EUR,2008,1.3,1248,346.6666667,0,1.415224126,1766.199709,490.6110303,Plan,http://dip21.bundestag.de/dip21/btd/17/029/1702939.pdf,NaN,NaN,NaN
IT,Rome,Line B1,Line B1 extension,2005,2015,0,4.7,100,4.7,0,0,3,150,Plan,761,EUR,2012,1.3,989.3,210.4893617,0,1.327133984,1312.933651,279.3475853,Plan,https://www.comune.roma.it/PCR/resources/cms/documents/B1schedaillustrativaintervento.pdf,NaN,NaN,NaN
IT,Rome,Line C,Line C - section T6a,2007,2013,0,2.8,100,2.8,0,0,4,NaN,Plan,399,EUR,2010,1.3,518.7,185.25,0,1.397356642,724.8088904,258.860318,Plan,https://metrocspa.it/cms/wp-content/uploads/2016/12/2-Q.E.G.-12-set-2013.pdf,NaN,NaN,NaN
IT,Rome,Line C,Line C - section T4-5,2007,2013,0,7.6,100,7.6,0,0,9,110,Plan,1206,EUR,2010,1.3,1567.8,206.2894737,0,1.397356642,2190.775744,288.2599663,Plan,https://metrocspa.it/cms/wp-content/uploads/2016/12/2-Q.E.G.-12-set-2013.pdf,NaN,NaN,NaN
IT,Rome,Line C,Line C - section T3,2013,2023,0,2.7,100,2.7,0,0,2,110,Plan,861,EUR,2018,1.3,1119.3,414.5555556,0,1.21343491,1358.197695,503.0361833,Plan,https://metrocspa.it/cms/wp-content/uploads/2016/12/2-Q.E.G.-12-set-2013.pdf,NaN,NaN,NaN
DE,Berlin,U55,U55,2004,2009,0,1.8,100,1.8,0,0,3,100,Plan,320,EUR,2006,1.3,416,231.1111111,0,1.511418651,628.7501587,349.3056437,Plan,https://www.das-parlament.de/2019/31_32/kehrseite/652908-652908,NaN,NaN,NaN
DE,Berlin,U5-U55 connection,U5-U55 connection,2010,2020,0,2.2,100,2.2,0,0,3,100,Plan,525,EUR,2015,1.3,682.5,310.2272727,0,1.285570233,877.4016843,398.8189474,Plan,https://www.projekt-u5.de/de/die-neue-u5/,NaN,NaN,NaN
