Country,City,Trainset,Trains,Cars,Train length,Length,Decks,Seats,Top speed,Voltage,Power source,Contract year,Start year,End year,Maintenance,Manufacturer,Currency,Cost,PPP rate,Inflation index,Real cost,Cost/car,Cost/meter,Reference,Metro,,,
CN,CR,CR200J3-C,20,360,460,9200,1,,200,AC 25KV,Catenary,2023,2024,2025,/,CRRC Dalian + CRRC Tangshan,CNY,"2,665,720,000",0.251,1,669095720,1858599.222,72727.79565,https://mp.weixin.qq.com/s/bE4uCzB_EMdLuNn902Y0YQ,Commuter/Regional Rail,https://en.namu.wiki/w/CR200,,
CN,CR,CR200J1-N,4,72,460,1840,1,,200,AC 25KV,Catenary,2023,2024,2025,/,CRRC Zhuzhou + CRRC Puzhen,CNY,"533,144,000",0.251,1,133819144,1858599.222,72727.79565,https://mp.weixin.qq.com/s/bE4uCzB_EMdLuNn902Y0YQ,Commuter/Regional Rail,https://en.namu.wiki/w/CR200,,
CN,CR,CR200J1-N,4,72,460,1840,1,,200,AC 25KV,Catenary,2023,2024,2025,/,CRRC Zhuzhou + CRRC Puzhen,CNY,"533,136,000",0.251,1,133817136,1858571.333,72726.70435,https://mp.weixin.qq.com/s/bE4uCzB_EMdLuNn902Y0YQ,Commuter/Regional Rail,https://en.namu.wiki/w/CR200,,
CN,CR,CR200J1-N,24,432,234,5616,1,,200,AC 25KV,Catenary,2023,2024,2025,/,CRRC Zhuzhou + CRRC Puzhen,CNY,"1,715,901,600",0.251,1,430691301.6,996970.6056,76690.04658,https://mp.weixin.qq.com/s/bE4uCzB_EMdLuNn902Y0YQ,Commuter/Regional Rail,https://en.namu.wiki/w/CR200,,
CN,CR,CR200J3-N,17,136,234,3978,1,,200,AC 25KV,Catenary,2023,2024,2025,/,CRRC Dalian + CRRC Tangshan,CNY,"1,215,440,500",0.251,1,305075565.5,2243202.688,76690.69017,https://mp.weixin.qq.com/s/bE4uCzB_EMdLuNn902Y0YQ,Commuter/Regional Rail,https://en.namu.wiki/w/CR200,,
CN,CR,CR200J3-N,5,40,234,1170,1,,200,AC 25KV,Catenary,2023,2024,2025,/,CRRC Dalian + CRRC Tangshan,CNY,"357,482,500",0.251,1,89728107.5,2243202.688,76690.69017,https://mp.weixin.qq.com/s/bE4uCzB_EMdLuNn902Y0YQ,Commuter/Regional Rail,https://en.namu.wiki/w/CR200,,
CN,CR Wuhan,CRH-6 Series,4,16,100,400,1,,200,AC 25KV,Catenary,2023,2024,2025,/,CRRC Sifang,CNY,"267,960,000",0.251,1,67257960,4203622.5,168144.9,https://mp.weixin.qq.com/s/bE4uCzB_EMdLuNn902Y0YQ,Commuter/Regional Rail,https://en.wikipedia.org/wiki/China_Railway_CRH6,,
TR,Istanbul,"M1 Aksaray-Havaalanı, Kirazlı",105,"2,3,4-car",23,2415,1,,80km/h,750 VDC,Catenary,,,1988,,ABB LRV,USD,2.200.000/each,,,,,,LinkedIn network,,Chat GPT,Metro,
TR,Istanbul,M2 Yenikapı - Hacıosman,32,"4,8-car",21.5,688,1,,80,750 VDC,3rd Rail,,,1999,,Alstom Metro,USD,1.400.000/each,,,,,,LinkedIn network,,Chat GPT,Metro,
TR,Istanbul,T1 Bağcılar-Kabataş,55,"1,2,3-car",29.6,1628,1,,70,750 VDC,Catenary,,,2002,,Bombardier Tram,EUR,1.550.000/each,,,,,,LinkedIn network,,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=T1,Light Rail,
TR,Istanbul,T4 Topkapı-Habipler,34,"2,3,4-car",26.9,914.6,1,,80,750 VDC,Catenary,,,2008,,Hyundai Rotem LRV,USD,2.000.000/ea,,,,,,LinkedIn network,,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=T4,Light Rail,
TR,Istanbul,T1 Bağcılar-Kabataş,37,"1,2-car",28.5,1054.5,1,,70,750 VDC,Catenary,,,2009,,Alstom Tram,EUR,1.900.000/ea,,,,,,LinkedIn network,,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=T1,Light Rail,
TR,Istanbul,M2 Yenikapı - Hacıosman,92,"4,8-car",21.5,1978,1,,80,750 VDC,3rd Rail,,,2008,,Hyundai Rotem Metro,USD,1.350.000/ea,,,,,,LinkedIn network,,Chat GPT,Metro,
TR,Istanbul,M3 Kirazlı-Olimpiyat Köyü,80,"4,8-car",21.5,1720,1,,80,1500 VDC,Catenary,,,2009,,Alstom Metro,EUR,"1,170.500/ea",,,,,,LinkedIn network,,Chat GPT,Metro,
TR,Istanbul,M4 Kadıköy - Kartal,144,"4,8-car",22.4,3225.6,1,,80,1500 VDC,Catenary,,,2011,,CAF Metro,EUR,1.150.000/ea,,,,,,LinkedIn network,,Chat GPT,Metro,
TR,Istanbul,M5 Üsküdar - Çekmeköy,126,6-car,21.5,2709,1,,80,1500 VDC,Catenary,,,2017,,CAF Metro,EUR,950.000/ea,,,,,,LinkedIn network,,Chat GPT,Metro,
TR,Istanbul,T4 Topkapı-Habipler,18,"2,3,4-car",25.4,457.2,1,,80,750VDC,Catenary,,,2014,,RTE LRV,EUR,1.610.000/ea,,,,,,LinkedIn network,,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=T4,Light Rail,
TR,Istanbul,M2 Yenikapı - Hacıosman,68,"4,8-car",21.5,1462,1,,80,750 VDC,3rd Rail,,,2017,,Hyundai Rotem Metro,EUR,1.140.000/ea,,,,,,LinkedIn network,,Chat GPT,Metro,
TR,Istanbul,M7 Kabataş - Mahmutbey - Esenyurt,80,"4,8-car",22.5,1800,1,,80,1500VDC,Catenary,,,2019,,Hyundai Rotem Metro,TRY,4.700.000/ea,,,,,,LinkedIn network,,Chat GPT,Metro,
TR,Istanbul,M8 Dudullu - Bostancı,40,4-car,21.5,860,1,,80,1500VDC,Catenary,,,2020,,Hyundai Rotem Metro,TRY,4.700.000/ea,,,,,,LinkedIn network,,Chat GPT,Metro,
TR,Istanbul,T5 Eminönü-Alibeyköy,30,2-car,32.5,975,1,,70,750VDC,Catenary,,,2020,,Durmazlar LRV (Turkish manufacturer),n/a,n/a,,,,,,LinkedIn network,,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=T5,Light Rail,
TR,Kayseri,T1 & T2 lines,38,2-car,32.25,1225.5,1,,80,750VDC,Catenary,,,2009,,Ansaldo Breda,EUR,2.300.000/ea,,,,,,YERLİ TRAMVAYLA 127 MİLYON TL TASARRUF,,https://www.tripadvisor.co.uk/ShowTopic-g297984-i5896-k14819858-Tram_Travel-Kayseri_Kayseri_Province.html,Light Rail,
TR,Kayseri,T1 & T2 lines,31,2-car,32.7,1013.7,1,,80,750VDC,Catenary,,,2015,,Bozankaya (Turkish manufacturer),EUR,1.400.000/ea,,,,,,YERLİ TRAMVAYLA 127 MİLYON TL TASARRUF,,https://www.tripadvisor.co.uk/ShowTopic-g297984-i5896-k14819858-Tram_Travel-Kayseri_Kayseri_Province.html,Light Rail,
BR,Sao Paulo,Line 2 (Green Line),44,264,,,,,,,,,,,,,,,,,,,,"https://mp.weixin.qq.com/s/ETTBnxyIcfTp-TlzA-8P_g
https://www.bnamericas.com/en/features/crrc-wins-sao-paulo-subway-rolling-stock-auction",Metro,Chat GPT,Metro,
