Country,City,Trainset,Trains,Cars,Train length,Length,Decks,Seats,Top speed,Voltage,Power source,Contract year,Start year,End year,Maintenance,Manufacturer,Currency,Cost,PPP rate,Inflation index,Real cost,Cost/car,Cost/meter,Reference,Metro,,,
CN,Shanghai,18A02,6,36,138,828,1,,80,DC 1500V,Catenary,2023,2025,2026,0,CRRC Zhuzhou,CNY,"290,818,800",0.251,1,72995518.8,2027653.3,88158.83913,"https://weibo.com/7312394339/4846637114985103
https://weibo.com/7312394339/4868721627106754",Metro,Chat GPT,,
CN,Shanghai,22A01,40,120,68,2720,1,,120,DC 1500V,Catenary,2024,2025,2026,20,CRRC Zhuzhou + Siemens,CNY,"2,297,782,500",0.251,1,576743407.5,4806195.063,212038.0175,https://weibo.com/7312394339/5074140977435274,Metro,Chat GPT,,
CN,Shanghai,JC8,3,24,200,600,1,,160,AC 25KV,Catenary,2022,2024,2024,0,CRRC Changchun,CNY,"348,000,000",0.251,1,87348000,3639500,145580,https://weibo.com/7312394339/5042948138075722,Metro,,,Unit cost per car is constant at 1450000 CNY per standard length car
CN,Shanghai,JC4,14,56,100,1400,1,,160,AC 25KV,Catenary,2022,2024,2024,0,CRRC Changchun,CNY,"812,000,000",0.251,1,203812000,3639500,145580,https://weibo.com/7312394339/5004250673579110,Metro,,,Unit cost per car is constant at 1450000 CNY per standard length car
CN,Shanghai,JM8,26,208,200.5,5213,1,,160,AC 25KV,Catenary,/,/,/,/,?,CNY,,,,0,0,,,Metro,,,
CN,Shanghai,17A02,10,60,138,1380,1,,100,DC 1500V,Third rail,2022,2023,2024,/,CRRC Changchun,CNY,"478,920,000",0.251,1,120208920,2003482,87107.91304,"https://weibo.com/7312394339/4730255279128601
https://weibo.com/7312394339/4746976136790889",Metro,Chat GPT,,
CN,Qingdao,Line 2,6,36,115,690,1,,80,DC 1500V,Third rail,2023,2024,2026,/,CRRC Sifang,CNY,"235,922,000",0.251,1,59216422,1644900.611,85820.90145,"https://mp.weixin.qq.com/s/Fi3SW74Y4hEpqSmI4fzaUQ
https://mp.weixin.qq.com/s/gD03ypoIdyLe9kU0d8SlgQ",Metro,,,
CN,Qingdao,Line 2,8,48,115,920,1,,80,DC 1500V,Third rail,2023,2024,2026,/,CRRC Sifang,CNY,"310,800,000",0.251,1,78010800,1625225,84794.34783,"https://mp.weixin.qq.com/s/Fi3SW74Y4hEpqSmI4fzaUQ
https://mp.weixin.qq.com/s/gD03ypoIdyLe9kU0d8SlgQ",Metro,,,
CN,Qingdao,"Line 6
Preferred Bid",21,126,115,2415,1,,80,DC 1500V,Third rail,2023,2024,2026,/,CRRC Sifang,CNY,"1,028,739,600",0.251,1,258213639.6,2049314.6,106920.7617,"https://mp.weixin.qq.com/s/Fi3SW74Y4hEpqSmI4fzaUQ
https://mp.weixin.qq.com/s/gD03ypoIdyLe9kU0d8SlgQ",Metro,Chat GPT,,
CN,Qingdao,"Line 6
Alternative Bid",35,105,59.4,2079,1,,80,DC 1500V,Third rail,2023,2024,2026,/,CRRC Sifang,CNY,"1,028,907,600",0.251,1,258255807.6,2459579.12,124221.1677,"https://mp.weixin.qq.com/s/Fi3SW74Y4hEpqSmI4fzaUQ
https://mp.weixin.qq.com/s/gD03ypoIdyLe9kU0d8SlgQ",Metro,Chat GPT,,
CN,Qingdao,Line 7,30,180,115,3450,1,,80,DC 1500V,Third rail,2023,2024,2026,/,CRRC Sifang,CNY,"1,395,684,000",0.251,1,350316684,1946203.8,101541.0678,"https://mp.weixin.qq.com/s/Fi3SW74Y4hEpqSmI4fzaUQ
https://mp.weixin.qq.com/s/gD03ypoIdyLe9kU0d8SlgQ",Metro,Chat GPT,,
CN,Qingdao,Line 8,18,108,115,2070,1,,80,DC 1500V,Third rail,2023,2024,2026,/,CRRC Sifang,CNY,"804,880,800",0.251,1,202025080.8,1870602.6,97596.65739,"https://mp.weixin.qq.com/s/Fi3SW74Y4hEpqSmI4fzaUQ
https://mp.weixin.qq.com/s/gD03ypoIdyLe9kU0d8SlgQ",Metro,,,
