,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Austrian schilling   (ATS)                     ,Belgian franc   (BEF)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Deutsche mark   (DEM)                     ,Estonian kroon   (EEK)                     ,Euro   (EUR)                     ,Finnish markka   (FIM)                     ,French franc   (FRF)                     ,Greek drachma   (GRD)                     ,Indian rupee   (INR)                     ,Irish pound   (IEP)                     ,Israeli New Shekel   (ILS)                     ,Italian lira   (ITL)                     ,Japanese yen   (JPY)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Luxembourg franc   (LUF)                     ,Malaysian ringgit   (MYR)                     ,Maltese lira   (MTL)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,Netherlands guilder   (NLG)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Portuguese escudo   (PTE)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Spanish peseta   (ESP)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     ,,,,,,,,,,,,,Taiwan
Country Name,Algeria,Australia,Austria,Belgium,Botswana,Brazil,Brunei Darussalam,Canada,Chile,China,Czechia,Denmark,Germany,Estonia,Euro Area,Finland,France,Greece,India,Ireland,Israel,Italy,Japan,"Korea, Rep.",Kuwait,Luxembourg,Malaysia,Malta,Mauritius,Mexico,Netherlands,New Zealand,Norway,Oman,Peru,Philippines,Poland,Portugal,Qatar,Russian Federation,Saudi Arabia,Singapore,South Africa,Spain,Sweden,Switzerland,Thailand,Trinidad and Tobago,United Arab Emirates,United Kingdom,United States,Uruguay,Bangladesh,Bahrain,"Egypt, Arab Rep.","Hong Kong SAR, China",Hungary,Indonesia,"Iran, Islamic Rep.",Pakistan,Romania,Turkiye,Viet Nam,Ukraine,Taiwan
Currency Code,DZD,AUD,ATS,BEF,BWP,BRL,BND,CAD,CLP,CNY,CZK,DKK,DEM,EEK,EUR,FIM,FRF,GRD,INR,IEP,ILS,ITL,JPY,KRW,KWD,LUF,MYR,MTL,MUR,MXN,NLG,NZD,NOK,OMR,PEN,PHP,PLN,PTE,QAR,RUB,SAR,SGD,ZAR,ESP,SEK,CHF,THB,TTD,AED,GBP,USD,UYU,BDT,BHD,EGP,HKD,HUF,IDR,IRR,PKR,RON,TRY,VND,UAH,TWD
2002,0.012549902,0.543312167,0.945573725,0.945573725,0.158033016,0.342423183,0.558475659,0.636803619,0.001451512,0.120817341,0.03054506,0.12666703,0.945573725,0.060198203,0.945573725,0.945573725,0.945573725,0.945573725,0.020571764,0.945573725,0.211067315,0.945573725,0.007975244,0.000798976,3.290401798,0.945573725,0.263157895,2.306164891,0.033375609,0.103562999,0.945573725,0.462493867,0.125253971,2.600780234,0.284373667,0.019378505,0.245096037,0.945573725,0.274725275,0.03189947,0.266666667,0.558475659,0.09486994,0.945573725,0.102699736,0.64159835,0.023277422,0.160033714,0.272294078,1.498748545,1,0.047043401,0.017274737,2.659574468,0.222238684,0.128222937,0.003877672,0.000107398,0.00014478,0.016743749,0.302522157,0.663470325,6.54E-05,0.187736137,0.028922632
2003,0.012920735,0.648544531,1.131160392,1.131160392,0.202033807,0.324941701,0.573992404,0.713768463,0.001446346,0.120816186,0.035449679,0.151798662,1.131160392,0.072168758,1.131160392,1.131160392,1.131160392,1.131160392,0.021466928,1.131160392,0.219580747,1.131160392,0.008625637,0.000839176,3.355574967,1.131160392,0.263157895,2.650879208,0.035840399,0.092686831,1.131160392,0.580686659,0.141238616,2.600780234,0.287482963,0.01844905,0.257130552,1.131160392,0.274725275,0.032581754,0.266666667,0.573992404,0.13219209,1.131160392,0.12366589,0.742582988,0.024105321,0.158853712,0.272294078,1.632726367,1,0.035450077,0.017196893,2.659574468,0.170914607,0.128423283,0.004458182,0.000116589,0.000122042,0.017315419,0.301204177,0.666273473,6.45E-05,0.187522679,0.029054564
2004,0.013877199,0.735427955,1.243902317,1.243902317,0.213045485,0.341866381,0.591636041,0.768473176,0.001640611,0.120819628,0.038910884,0.166915463,1.243902317,0.079393033,1.243902317,1.243902317,1.243902317,1.243902317,0.022067034,1.243902317,0.223115511,1.243902317,0.009242779,0.000872411,3.393281303,1.243902317,0.263157895,2.901383316,0.036365598,0.088605613,1.243902317,0.662830526,0.148349611,2.600780234,0.29298234,0.017844423,0.27340021,1.243902317,0.274725275,0.034705663,0.266666667,0.591636041,0.15480613,1.243902317,0.136075034,0.80418444,0.024861759,0.158755568,0.272294078,1.830898239,1,0.034838674,0.016803148,2.659574468,0.161388153,0.128402671,0.004932284,0.000111871,0.00011609,0.017165065,0.306404763,0.701489912,6.35E-05,0.187998879,0.029920412
2005,0.013646976,0.763665799,1.244090272,1.244090272,0.195436556,0.410780518,0.600818014,0.825487669,0.001786456,0.122035801,0.041740727,0.166752544,1.244090272,0.079467336,1.244090272,1.244090272,1.244090272,1.244090272,0.02267575,1.244090272,0.222831294,1.244090272,0.009072911,0.000976249,3.424657534,1.244090272,0.264054871,2.892034073,0.033902634,0.091760868,1.244090272,0.704089762,0.155219247,2.600780234,0.303412634,0.0181536,0.309072833,1.244090272,0.274725275,0.035355126,0.266666667,0.600818014,0.157249311,1.244090272,0.133813486,0.803098891,0.024863172,0.158741287,0.272294078,1.818187328,1,0.04085201,0.015545457,2.659574468,0.173045309,0.128578776,0.005010459,0.000103042,0.000111558,0.016802635,0.343211749,0.744278485,6.31E-05,0.195132269,0.031087761
2006,0.013765266,0.753027108,1.255598824,1.255598824,0.171517761,0.459701072,0.629353025,0.881566227,0.001885814,0.125416409,0.044256437,0.168158277,1.255598824,0.080221516,1.255598824,1.255598824,1.255598824,1.255598824,0.02207164,1.255598824,0.22442617,1.255598824,0.008598503,0.001046747,3.446181713,1.255598824,0.272614983,2.933464173,0.031537716,0.091749502,1.255598824,0.648484982,0.155925156,2.600780234,0.305433742,0.019487756,0.322252329,1.255598824,0.274725275,0.036776931,0.266666667,0.629353025,0.147676695,1.255598824,0.135533509,0.797547806,0.026397773,0.158421279,0.272294078,1.839971542,1,0.041539697,0.014506791,2.659574468,0.174423675,0.128736027,0.004753078,0.000109178,0.00010904,0.016591635,0.356000688,0.700057832,6.25E-05,0.198019802,0.03073991
2007,0.014431597,0.836769317,1.370478039,1.370478039,0.162882145,0.513595295,0.663525243,0.931059147,0.001914007,0.131448666,0.049276457,0.183698559,1.370478039,0.087459582,1.370478039,1.370478039,1.370478039,1.370478039,0.024184655,1.370478039,0.243422543,1.370478039,0.008492314,0.001075991,3.518476031,1.370478039,0.290903219,3.208470362,0.031934949,0.091506448,1.370478039,0.734929231,0.170599943,2.600780234,0.319688539,0.021669228,0.361278202,1.370478039,0.274725275,0.03909175,0.266666667,0.663525243,0.141937288,1.370478039,0.147955915,0.83307936,0.028970241,0.15802698,0.272294078,2.000913751,1,0.042605723,0.014519083,2.659574468,0.177448643,0.128181847,0.005445857,0.000109397,0.000107745,0.016464018,0.410130216,0.767500407,6.21E-05,0.198019802,0.030448816
2008,0.015483999,0.838800683,1.470755469,1.470755469,0.146480262,0.54532565,0.705633306,0.937130784,0.001914018,0.143912743,0.058576589,0.196150321,1.470755469,0.093506505,1.470755469,1.470755469,1.470755469,1.470755469,0.022985767,1.470755469,0.278705154,1.470755469,0.00967497,0.000908987,3.719845537,1.470755469,0.299775169,1.470755469,0.03514588,0.089849547,1.470755469,0.702875628,0.177304965,2.600780234,0.341949511,0.022561503,0.415068365,1.470755469,0.274725275,0.040236794,0.266666667,0.706783294,0.121047448,1.470755469,0.151719762,0.923284307,0.03001804,0.158996836,0.272294078,1.838349346,1,0.047734254,0.014577626,2.659574468,0.184077312,0.128421909,0.005810125,0.000103104,0.000106061,0.014202925,0.397005257,0.768331406,6.13E-05,0.18985342,0.031728908
2009,0.013765114,0.779916337,1.394782422,1.394782422,0.139759637,0.500142998,0.687488742,0.876013127,0.001782976,0.146382535,0.05245764,0.186537003,1.394782422,0.088830214,1.394782422,1.394782422,1.394782422,1.394782422,0.020658909,1.394782422,0.254301802,1.394782422,0.010687176,0.000782935,3.474811238,1.394782422,0.283727954,1.394782422,0.031289307,0.074000211,1.394782422,0.624657494,0.159024649,2.600780234,0.332059516,0.020973291,0.320498268,1.394782422,0.274725275,0.03150563,0.266666667,0.68751453,0.118012562,1.394782422,0.130653727,0.918997961,0.029166616,0.158105058,0.272294078,1.557828308,1,0.044310561,0.014484553,2.659574468,0.18035718,0.129003128,0.004942136,9.62E-05,0.000101376,0.012237971,0.32794143,0.645178033,5.86E-05,0.128349269,0.030258102
2010,0.013443393,0.917296976,1.325716667,1.325716667,0.147196821,0.568431569,0.733401578,0.970767534,0.001959827,0.147704618,0.052360818,0.177807017,1.325716667,0.084696608,1.325716667,1.325716667,1.325716667,1.325716667,0.021869486,1.325716667,0.267452978,1.325716667,0.011392133,0.000864708,3.489103283,1.325716667,0.310454212,1.325716667,0.032483985,0.079138916,1.325716667,0.72054736,0.16544878,2.600780234,0.353966639,0.022168199,0.331641959,1.325716667,0.274725275,0.032929491,0.266666667,0.733402192,0.13658922,1.325716667,0.138743898,0.958859513,0.031559973,0.156850238,0.272294078,1.545166741,1,0.04985225,0.014357648,2.659574468,0.177874449,0.128713933,0.004808983,0.000110006,9.75E-05,0.011737941,0.314673212,0.665403009,5.37E-05,0.12601379,0.031603565
2011,0.013710296,1.031498667,1.391955253,1.391955253,0.146236601,0.59778982,0.794967525,1.010858481,0.002067536,0.154763752,0.056510212,0.186264431,1.391955253,1.391955253,1.391955253,1.391955253,1.391955253,1.391955253,0.021426827,1.391955253,0.279475646,1.391955253,0.012530226,0.000902337,3.623464834,1.391955253,0.326797064,1.391955253,0.034835983,0.080493749,1.391955253,0.790007544,0.178424633,2.600780234,0.363095022,0.023087684,0.337513121,1.391955253,0.274725275,0.034034047,0.266666667,0.795054205,0.137719571,1.391955253,0.153999126,1.12607283,0.032795774,0.156023261,0.272294078,1.602202488,1,0.051775355,0.01348574,2.659574468,0.168553691,0.128468654,0.004973763,0.000114019,9.42E-05,0.011581663,0.328018522,0.597031125,4.88E-05,0.125508894,0.033939723
